Age,Gender,Location,Income,Savings,Existing Investments,Life Stage,Existing Policies,Website Activity Score,Past Claims,Recommended Policy Type,Coverage Amount,Premium Term,Interest in Add-on Benefits,Upselling Opportunity,Premium Amount
32,Male,Urban,20000,9000,73000,Single,2,80,0,Life Insurance,90000,Whole Life,70,1,15000
27,Male,Suburban,28000,12000,43000,Married,1,84,1,Life Insurance,90000,Whole Life,68,1,15000
34,Male,Rural,46000,22000,97000,Married,0,61,0,Health Insurance,90000,10 Years,72,1,15000
38,Female,Suburban,74000,48000,10000,Married,0,87,0,Investment Plan,90000,20 Years,59,0,15000
64,Male,Suburban,79000,42000,17000,Empty Nesters,0,51,0,Retirement Plan,90000,5 Years,82,1,15000
39,Male,Rural,77000,69000,85000,Single,2,95,1,Investment Plan,90000,Whole Life,72,0,15000
63,Female,Suburban,74000,40000,5000,Empty Nesters,2,95,1,Retirement Plan,90000,20 Years,92,1,15000
32,Male,Suburban,47000,1000,85000,Single,0,85,1,Life Insurance,90000,10 Years,71,0,15000
26,Male,Rural,31000,9000,9000,Married,0,95,0,Life Insurance,90000,10 Years,69,0,15000
62,Male,Suburban,77000,37000,61000,Empty Nesters,2,45,1,Retirement Plan,90000,Whole Life,95,0,15000
22,Male,Suburban,32000,6000,86000,Single,1,95,1,Life Insurance,90000,5 Years,44,1,15000
55,Male,Suburban,48000,27000,10000,Married,1,53,1,Retirement Plan,90000,Whole Life,68,1,15000
58,Male,Rural,65000,66000,34000,Married,2,49,0,Retirement Plan,90000,20 Years,86,0,15000
55,Male,Urban,69000,48000,2000,Empty Nesters,1,76,1,Retirement Plan,90000,20 Years,69,0,15000
25,Male,Rural,25000,20000,32000,Single,0,95,0,Life Insurance,90000,10 Years,65,1,15000
43,Female,Suburban,48000,18000,72000,Married,2,54,1,Health Insurance,90000,5 Years,83,1,15000
39,Female,Urban,59000,21000,43000,Single,2,95,0,Health Insurance,90000,Whole Life,77,1,15000
60,Female,Suburban,53000,52000,98000,Parents,2,57,1,Retirement Plan,90000,Whole Life,80,1,15000
31,Female,Suburban,29000,16000,2000,Married,0,95,0,Life Insurance,90000,20 Years,61,1,15000
33,Female,Urban,38000,16000,23000,Single,1,95,0,Life Insurance,90000,20 Years,63,1,15000
67,Male,Rural,78000,34000,71000,Empty Nesters,2,55,0,Retirement Plan,90000,20 Years,95,0,15000
39,Female,Rural,73000,51000,15000,Married,1,95,1,Investment Plan,90000,10 Years,70,1,15000
22,Male,Rural,24000,14000,54000,Single,2,95,1,Life Insurance,90000,10 Years,71,0,15000
36,Male,Suburban,33000,18000,32000,Single,0,95,0,Health Insurance,90000,10 Years,59,0,15000
33,Female,Urban,54000,42000,30000,Married,0,95,1,Health Insurance,90000,Whole Life,57,0,15000
64,Female,Urban,79000,26000,94000,Empty Nesters,0,10,0,Retirement Plan,90000,5 Years,78,1,15000
62,Male,Rural,71000,39000,52000,Empty Nesters,1,40,1,Retirement Plan,90000,10 Years,68,0,15000
40,Male,Suburban,41000,12000,55000,Single,1,87,1,Health Insurance,90000,Whole Life,95,0,15000
25,Male,Urban,92000,63000,55000,Single,0,95,1,Investment Plan,90000,Whole Life,66,1,15000
39,Male,Suburban,39000,21000,9000,Married,1,71,0,Health Insurance,90000,10 Years,68,1,15000
43,Female,Suburban,50000,23000,48000,Married,2,78,0,Health Insurance,90000,20 Years,67,1,15000
49,Female,Urban,47000,14000,88000,Married,1,52,0,Health Insurance,90000,10 Years,61,1,15000
21,Female,Urban,21000,18000,39000,Single,2,95,1,Life Insurance,90000,5 Years,45,1,15000
44,Male,Urban,64000,68000,95000,Empty Nesters,1,63,1,Investment Plan,90000,10 Years,77,0,15000
69,Female,Urban,67000,43000,65000,Empty Nesters,0,32,0,Retirement Plan,90000,10 Years,75,0,15000
42,Male,Rural,39000,20000,56000,Parents,1,95,1,Health Insurance,90000,10 Years,59,1,15000
42,Female,Suburban,58000,84000,28000,Parents,1,50,0,Investment Plan,90000,Whole Life,58,1,15000
55,Female,Rural,72000,39000,42000,Married,2,50,1,Retirement Plan,90000,10 Years,86,1,15000
43,Female,Urban,87000,58000,23000,Parents,1,76,0,Investment Plan,90000,20 Years,81,0,15000
52,Male,Rural,65000,27000,65000,Empty Nesters,1,79,1,Retirement Plan,90000,5 Years,57,0,15000
22,Male,Rural,27000,12000,5000,Single,1,95,0,Life Insurance,90000,10 Years,65,0,15000
40,Female,Rural,61000,45000,1000,Partnered,2,95,1,Investment Plan,90000,10 Years,77,1,15000
43,Male,Suburban,84000,48000,59000,Married,1,83,0,Investment Plan,90000,Whole Life,78,1,15000
40,Female,Urban,37000,32000,43000,Single,0,95,0,Health Insurance,90000,10 Years,63,0,15000
33,Male,Rural,92000,50000,71000,Single,0,94,1,Investment Plan,90000,Whole Life,77,1,15000
43,Female,Suburban,49000,25000,96000,Parents,0,85,1,Health Insurance,90000,20 Years,54,1,15000
62,Female,Rural,45000,46000,38000,Empty Nesters,1,32,1,Retirement Plan,90000,Whole Life,82,1,15000
26,Female,Rural,30000,12000,96000,Partnered,0,95,1,Life Insurance,90000,20 Years,37,0,15000
36,Female,Suburban,51000,60000,87000,Single,1,95,1,Investment Plan,90000,20 Years,78,1,15000
56,Male,Urban,76000,60000,39000,Empty Nesters,1,51,1,Retirement Plan,90000,20 Years,78,0,15000
35,Male,Rural,91000,46000,38000,Single,0,69,0,Investment Plan,90000,20 Years,59,0,15000
53,Female,Rural,83000,60000,97000,Parents,1,73,0,Retirement Plan,90000,5 Years,75,0,15000
54,Female,Urban,80000,34000,1000,Empty Nesters,0,95,0,Retirement Plan,90000,10 Years,76,1,15000
51,Female,Suburban,61000,47000,43000,Empty Nesters,0,93,0,Retirement Plan,90000,10 Years,68,1,15000
37,Female,Rural,52000,13000,41000,Married,2,95,0,Health Insurance,90000,10 Years,52,0,15000
22,Female,Rural,36000,15000,80000,Single,1,95,1,Life Insurance,90000,20 Years,67,0,15000
54,Male,Urban,53000,53000,16000,Married,0,84,1,Retirement Plan,90000,5 Years,87,1,15000
58,Male,Urban,71000,61000,35000,Parents,2,28,0,Retirement Plan,90000,10 Years,76,1,15000
34,Male,Urban,25000,15000,82000,Partnered,1,95,1,Life Insurance,90000,10 Years,63,0,15000
34,Female,Suburban,36000,11000,71000,Single,2,95,0,Life Insurance,90000,5 Years,62,1,15000
32,Female,Suburban,30000,34000,13000,Partnered,2,95,0,Health Insurance,90000,10 Years,46,1,15000
42,Male,Rural,52000,35000,33000,Married,1,92,0,Health Insurance,90000,20 Years,71,0,15000
22,Male,Suburban,40000,5000,69000,Single,2,95,1,Life Insurance,90000,5 Years,58,1,15000
36,Male,Rural,35000,16000,48000,Single,1,61,1,Health Insurance,90000,20 Years,55,0,15000
28,Male,Rural,68000,58000,66000,Married,2,95,0,Investment Plan,90000,5 Years,70,1,15000
32,Female,Urban,40000,13000,40000,Partnered,1,87,0,Life Insurance,90000,Whole Life,60,1,15000
58,Female,Rural,83000,40000,77000,Married,0,95,1,Retirement Plan,90000,20 Years,83,0,15000
41,Female,Urban,87000,48000,34000,Married,1,95,0,Investment Plan,90000,5 Years,63,1,15000
39,Female,Suburban,106000,70000,60000,Married,2,81,0,Investment Plan,90000,20 Years,75,0,15000
58,Female,Rural,73000,65000,42000,Parents,2,43,0,Retirement Plan,90000,Whole Life,70,1,15000
55,Female,Urban,62000,40000,82000,Married,1,76,0,Retirement Plan,90000,Whole Life,77,1,15000
52,Male,Suburban,57000,73000,56000,Empty Nesters,0,69,0,Retirement Plan,90000,10 Years,93,0,15000
65,Male,Urban,63000,44000,72000,Empty Nesters,0,55,0,Retirement Plan,90000,20 Years,91,1,15000
39,Male,Suburban,34000,34000,21000,Single,0,83,0,Health Insurance,90000,Whole Life,70,1,15000
40,Male,Urban,42000,36000,2000,Partnered,1,85,1,Health Insurance,90000,5 Years,82,0,15000
31,Female,Rural,80000,26000,43000,Partnered,0,78,1,Investment Plan,90000,Whole Life,72,1,15000
37,Male,Urban,85000,45000,3000,Partnered,1,95,0,Investment Plan,90000,20 Years,66,1,15000
39,Male,Rural,95000,54000,88000,Partnered,1,95,1,Investment Plan,90000,Whole Life,79,1,15000
25,Male,Suburban,79000,44000,97000,Single,1,95,1,Investment Plan,90000,10 Years,66,0,15000
61,Female,Suburban,83000,53000,14000,Empty Nesters,1,63,1,Retirement Plan,90000,Whole Life,80,0,15000
32,Female,Urban,42000,24000,49000,Partnered,0,95,1,Health Insurance,90000,10 Years,61,0,15000
39,Female,Urban,67000,57000,87000,Partnered,0,92,1,Investment Plan,90000,10 Years,71,1,15000
54,Female,Rural,60000,38000,91000,Parents,1,53,1,Retirement Plan,90000,20 Years,70,0,15000
41,Male,Rural,75000,80000,85000,Married,2,88,1,Investment Plan,90000,Whole Life,75,1,15000
34,Female,Rural,40000,22000,29000,Single,0,95,1,Life Insurance,90000,10 Years,74,1,15000
33,Male,Rural,15000,16000,15000,Partnered,1,85,0,Life Insurance,90000,5 Years,84,1,15000
35,Female,Urban,47000,27000,60000,Married,1,82,1,Health Insurance,90000,10 Years,77,0,15000
62,Female,Suburban,73000,40000,37000,Empty Nesters,1,67,1,Retirement Plan,90000,5 Years,70,0,15000
30,Female,Suburban,47000,25000,23000,Partnered,0,95,1,Health Insurance,90000,20 Years,65,1,15000
44,Female,Suburban,60000,65000,2000,Empty Nesters,1,94,0,Investment Plan,90000,10 Years,72,1,15000
33,Female,Urban,28000,9000,77000,Single,1,95,1,Life Insurance,90000,20 Years,72,1,15000
21,Female,Urban,27000,10000,77000,Single,0,95,0,Life Insurance,90000,20 Years,64,0,15000
27,Male,Urban,28000,21000,93000,Married,2,95,0,Life Insurance,90000,5 Years,73,0,15000
32,Male,Rural,35000,26000,7000,Married,2,81,0,Health Insurance,90000,10 Years,60,0,15000
48,Male,Suburban,39000,34000,16000,Married,0,60,0,Health Insurance,90000,10 Years,73,0,15000
22,Male,Suburban,31000,7000,9000,Single,0,95,1,Life Insurance,90000,10 Years,69,0,15000
69,Female,Urban,53000,25000,27000,Empty Nesters,1,44,0,Retirement Plan,90000,Whole Life,94,0,15000
23,Male,Suburban,24000,5000,54000,Single,1,95,1,Life Insurance,90000,20 Years,75,0,15000
34,Male,Suburban,48000,12000,96000,Single,1,93,0,Life Insurance,90000,10 Years,78,1,15000
39,Female,Rural,33000,51000,29000,Married,2,81,0,Investment Plan,90000,20 Years,58,1,15000
28,Male,Urban,31000,22000,50000,Single,2,79,0,Life Insurance,90000,20 Years,61,1,15000
52,Male,Rural,51000,42000,94000,Parents,1,64,1,Retirement Plan,90000,5 Years,64,1,15000
57,Female,Rural,51000,21000,41000,Empty Nesters,0,67,0,Retirement Plan,90000,20 Years,56,0,15000
20,Female,Urban,21000,12000,20000,Single,2,95,0,Life Insurance,90000,5 Years,83,1,15000
44,Female,Urban,65000,57000,1000,Empty Nesters,0,95,0,Investment Plan,90000,Whole Life,79,0,15000
69,Female,Rural,89000,28000,86000,Empty Nesters,1,18,1,Retirement Plan,90000,10 Years,89,1,15000
40,Female,Urban,41000,11000,76000,Single,1,95,0,Health Insurance,90000,Whole Life,59,0,15000
59,Female,Suburban,70000,32000,34000,Empty Nesters,1,53,0,Retirement Plan,90000,5 Years,81,0,15000
51,Female,Urban,65000,62000,74000,Parents,1,71,1,Retirement Plan,90000,5 Years,86,1,15000
61,Female,Urban,69000,37000,85000,Empty Nesters,2,66,1,Retirement Plan,90000,Whole Life,95,1,15000
26,Female,Suburban,46000,77000,42000,Married,0,95,0,Investment Plan,90000,20 Years,57,0,15000
35,Female,Urban,101000,49000,11000,Partnered,1,95,0,Investment Plan,90000,10 Years,66,1,15000
42,Female,Suburban,42000,17000,92000,Empty Nesters,1,79,1,Health Insurance,90000,5 Years,71,1,15000
64,Female,Rural,61000,26000,41000,Empty Nesters,2,34,1,Retirement Plan,90000,20 Years,60,1,15000
20,Male,Urban,22000,17000,69000,Single,2,95,0,Life Insurance,90000,Whole Life,70,0,15000
39,Female,Suburban,60000,22000,36000,Single,1,79,1,Health Insurance,90000,10 Years,69,1,15000
41,Female,Rural,40000,30000,31000,Married,2,95,0,Health Insurance,90000,Whole Life,48,0,15000
38,Female,Urban,89000,83000,92000,Married,2,95,1,Investment Plan,90000,Whole Life,67,1,15000
64,Male,Suburban,61000,55000,31000,Empty Nesters,0,28,1,Retirement Plan,90000,Whole Life,81,1,15000
43,Female,Rural,44000,30000,44000,Married,0,83,0,Health Insurance,90000,5 Years,85,1,15000
65,Female,Rural,82000,48000,58000,Empty Nesters,0,32,0,Retirement Plan,90000,Whole Life,80,1,15000
60,Female,Rural,42000,41000,55000,Married,2,45,0,Retirement Plan,90000,Whole Life,83,0,15000
59,Female,Rural,73000,39000,89000,Empty Nesters,0,63,0,Retirement Plan,90000,Whole Life,80,0,15000
58,Female,Suburban,74000,30000,95000,Parents,0,39,1,Retirement Plan,90000,Whole Life,72,0,15000
24,Male,Suburban,36000,10000,61000,Single,0,95,1,Life Insurance,90000,10 Years,54,1,15000
20,Male,Urban,24000,6000,26000,Single,1,95,0,Life Insurance,90000,10 Years,41,0,15000
45,Female,Suburban,46000,32000,84000,Married,1,69,1,Health Insurance,90000,5 Years,74,1,15000
51,Male,Urban,72000,52000,16000,Empty Nesters,1,93,0,Retirement Plan,90000,5 Years,69,1,15000
46,Female,Urban,51000,30000,33000,Empty Nesters,1,88,1,Health Insurance,90000,10 Years,59,1,15000
23,Male,Suburban,26000,6000,16000,Single,0,95,0,Life Insurance,90000,20 Years,82,1,15000
31,Male,Rural,21000,10000,21000,Partnered,0,95,1,Life Insurance,90000,10 Years,49,1,15000
32,Female,Urban,35000,14000,14000,Married,2,74,0,Health Insurance,90000,Whole Life,52,0,15000
52,Female,Suburban,57000,26000,91000,Empty Nesters,1,52,1,Retirement Plan,90000,10 Years,82,1,15000
65,Male,Urban,52000,50000,40000,Empty Nesters,0,12,0,Retirement Plan,90000,10 Years,77,0,15000
68,Female,Urban,58000,53000,20000,Empty Nesters,0,39,0,Retirement Plan,90000,20 Years,80,0,15000
27,Female,Suburban,26000,14000,58000,Married,1,94,1,Life Insurance,90000,20 Years,51,1,15000
28,Male,Urban,31000,5000,71000,Single,2,94,0,Life Insurance,90000,5 Years,72,0,15000
53,Male,Urban,59000,36000,37000,Parents,1,35,1,Retirement Plan,90000,20 Years,88,1,15000
36,Male,Rural,62000,41000,21000,Partnered,1,95,1,Investment Plan,90000,5 Years,73,1,15000
44,Female,Suburban,66000,39000,87000,Married,2,63,1,Investment Plan,90000,5 Years,85,1,15000
44,Female,Rural,96000,54000,65000,Married,0,95,0,Investment Plan,90000,5 Years,68,0,15000
25,Male,Urban,28000,3000,40000,Single,1,95,1,Life Insurance,90000,20 Years,52,1,15000
37,Female,Rural,38000,26000,90000,Married,0,95,1,Health Insurance,90000,5 Years,63,0,15000
40,Male,Urban,31000,21000,29000,Single,2,76,1,Health Insurance,90000,10 Years,63,0,15000
33,Male,Urban,27000,23000,16000,Partnered,0,77,1,Life Insurance,90000,5 Years,63,1,15000
33,Female,Suburban,70000,62000,19000,Married,0,95,1,Investment Plan,90000,5 Years,66,1,15000
46,Female,Rural,35000,29000,71000,Empty Nesters,1,60,0,Health Insurance,90000,10 Years,70,0,15000
44,Male,Rural,68000,64000,94000,Parents,1,87,0,Investment Plan,90000,5 Years,79,0,15000
54,Male,Suburban,74000,33000,96000,Parents,1,69,0,Retirement Plan,90000,5 Years,90,0,15000
36,Male,Suburban,50000,29000,37000,Married,0,61,1,Health Insurance,90000,20 Years,88,0,15000
23,Male,Urban,29000,14000,36000,Single,1,75,0,Life Insurance,90000,5 Years,57,1,15000
69,Female,Suburban,75000,48000,59000,Empty Nesters,0,45,1,Retirement Plan,90000,Whole Life,77,0,15000
28,Female,Rural,28000,17000,44000,Partnered,0,95,1,Life Insurance,90000,5 Years,77,1,15000
32,Female,Rural,70000,45000,91000,Single,2,79,1,Investment Plan,90000,10 Years,66,0,15000
36,Female,Urban,80000,69000,25000,Single,2,85,0,Investment Plan,90000,Whole Life,69,1,15000
27,Female,Rural,23000,16000,15000,Partnered,1,95,0,Life Insurance,90000,Whole Life,63,0,15000
69,Male,Urban,52000,25000,15000,Empty Nesters,1,29,0,Retirement Plan,90000,20 Years,83,1,15000
45,Male,Rural,48000,19000,13000,Empty Nesters,1,64,0,Health Insurance,90000,5 Years,63,0,15000
28,Male,Suburban,30000,14000,40000,Single,1,93,1,Life Insurance,90000,10 Years,73,0,15000
32,Female,Urban,95000,73000,30000,Single,1,91,1,Investment Plan,90000,20 Years,57,0,15000
32,Female,Urban,77000,33000,5000,Partnered,1,95,1,Investment Plan,90000,10 Years,54,1,15000
69,Female,Suburban,55000,35000,36000,Empty Nesters,0,21,1,Retirement Plan,90000,Whole Life,93,0,15000
56,Male,Urban,64000,19000,42000,Empty Nesters,0,66,1,Retirement Plan,90000,10 Years,93,1,15000
36,Female,Suburban,72000,48000,48000,Single,0,89,1,Investment Plan,90000,5 Years,67,0,15000
39,Male,Suburban,77000,50000,36000,Married,2,93,1,Investment Plan,90000,20 Years,76,1,15000
60,Female,Suburban,79000,60000,10000,Parents,1,82,1,Retirement Plan,90000,5 Years,86,0,15000
31,Male,Rural,82000,77000,77000,Single,1,95,0,Investment Plan,90000,5 Years,67,1,15000
36,Female,Urban,82000,68000,98000,Married,1,71,0,Investment Plan,90000,5 Years,78,0,15000
63,Female,Rural,80000,40000,71000,Empty Nesters,0,75,0,Retirement Plan,90000,20 Years,95,1,15000
34,Male,Urban,83000,61000,36000,Partnered,0,92,0,Investment Plan,90000,5 Years,71,1,15000
40,Female,Suburban,36000,23000,64000,Single,2,95,0,Health Insurance,90000,5 Years,66,0,15000
27,Male,Urban,67000,24000,20000,Single,2,95,1,Investment Plan,90000,5 Years,57,0,15000
49,Male,Suburban,61000,30000,81000,Married,0,94,0,Health Insurance,90000,10 Years,94,0,15000
23,Female,Urban,32000,8000,94000,Single,2,95,0,Life Insurance,90000,Whole Life,55,0,15000
46,Male,Suburban,46000,17000,52000,Parents,0,77,0,Health Insurance,90000,5 Years,87,0,15000
45,Female,Rural,48000,21000,64000,Empty Nesters,1,68,0,Health Insurance,90000,Whole Life,70,0,15000
64,Female,Suburban,54000,51000,67000,Empty Nesters,0,48,0,Retirement Plan,90000,Whole Life,95,1,15000
39,Male,Suburban,89000,62000,2000,Single,0,79,0,Investment Plan,90000,20 Years,58,1,15000
47,Female,Urban,45000,37000,52000,Married,2,89,0,Health Insurance,90000,5 Years,71,0,15000
34,Male,Suburban,44000,33000,42000,Partnered,1,86,0,Health Insurance,90000,Whole Life,68,0,15000
56,Female,Urban,56000,42000,76000,Empty Nesters,1,56,1,Retirement Plan,90000,20 Years,68,1,15000
69,Female,Urban,61000,31000,96000,Empty Nesters,1,26,0,Retirement Plan,90000,Whole Life,75,0,15000
27,Female,Suburban,59000,72000,50000,Partnered,1,95,1,Investment Plan,90000,20 Years,61,1,15000
30,Female,Suburban,84000,41000,1000,Married,1,63,1,Investment Plan,90000,5 Years,73,0,15000
36,Female,Urban,52000,35000,63000,Partnered,2,95,0,Health Insurance,90000,20 Years,64,0,15000
27,Female,Rural,33000,18000,53000,Partnered,1,95,1,Life Insurance,90000,20 Years,56,1,15000
29,Female,Rural,93000,69000,85000,Single,0,92,0,Investment Plan,90000,Whole Life,80,0,15000
36,Female,Urban,43000,29000,71000,Married,1,95,1,Health Insurance,90000,10 Years,45,0,15000
56,Male,Suburban,84000,55000,28000,Parents,1,57,0,Retirement Plan,90000,5 Years,89,1,15000
29,Male,Rural,64000,70000,94000,Married,1,95,0,Investment Plan,90000,5 Years,75,1,15000
31,Male,Urban,99000,55000,9000,Partnered,2,88,1,Investment Plan,90000,20 Years,64,0,15000
66,Female,Rural,63000,36000,34000,Empty Nesters,2,57,0,Retirement Plan,90000,Whole Life,91,1,15000
39,Male,Suburban,71000,59000,53000,Single,1,82,1,Investment Plan,90000,10 Years,53,1,15000
41,Female,Rural,78000,62000,35000,Married,0,95,1,Investment Plan,90000,20 Years,65,1,15000
